1,32,18,17,1,1,0,M1
16,17,18,17,2,2,0,M2
8,25,20,19,1,1,0,M3
9,24,20,19,2,2,0,M4
4,29,22,21,1,1,0,M5
13,20,22,21,2,2,0,M6
5,28,24,23,1,1,0,M7
12,21,24,23,2,2,0,M8
22,11,26,25,1,1,0,M9
27,6,26,25,2,2,0,M10
19,14,28,27,1,1,0,M11
30,3,28,27,2,2,0,M12
23,10,30,29,1,1,0,M13
26,7,30,29,2,2,0,M14
18,15,32,31,1,1,0,M15
31,2,32,31,2,2,0,M16
-1,-2,33,45,1,1,1,M17
-1,-2,34,36,1,2,1,M18
-3,-4,35,45,1,2,1,M19
-3,-4,34,38,2,2,1,M20
-5,-6,36,46,1,1,1,M21
-5,-6,37,33,1,2,1,M22
-7,-8,38,46,1,2,1,M23
-7,-8,37,35,2,2,1,M24
-9,-10,39,47,1,1,1,M25
-9,-10,40,42,1,2,1,M26
-11,-12,41,47,1,2,1,M27
-11,-12,40,44,2,2,1,M28
-13,-14,42,48,1,1,1,M29
-13,-14,43,41,1,2,1,M30
-15,-16,44,48,1,2,1,M31
-15,-16,43,39,2,2,1,M32
-17,-22,53,49,1,1,2,M33
-18,-20,57,65,1,2,2,M34
-19,-24,53,49,2,2,2,M35
-21,-18,54,50,1,1,2,M36
-22,-24,57,66,2,2,2,M37
-23,-20,54,50,2,2,2,M38
-25,-32,55,51,1,1,2,M39
-26,-28,58,63,1,2,2,M40
-27,-30,55,51,2,2,2,M41
-29,-26,56,52,1,1,2,M42
-30,-32,58,64,2,2,2,M43
-31,-28,56,52,2,2,2,M44
-17,-19,60,59,1,1,2,M45
-21,-23,60,59,2,2,2,M46
-25,-27,62,61,1,1,2,M47
-29,-31,62,61,2,2,2,M48
-33,-35,68,67,1,1,3,M49
-36,-38,68,67,2,2,3,M50
-39,-41,70,69,1,1,3,M51
-42,-44,70,69,2,2,3,M52
-33,-35,63,71,1,1,3,M53
-36,-38,64,71,1,2,3,M54
-39,-41,65,72,1,1,3,M55
-42,-44,66,72,1,2,3,M56
-34,-37,92,91,1,1,2,M57
-40,-43,92,91,2,2,2,M58
-45,-46,78,77,1,1,2,M59
-45,-46,80,79,1,1,2,M60
-47,-48,78,77,2,2,2,M61
-47,-48,80,79,2,2,2,M62
-53,-40,75,73,1,1,2,M63
-54,-43,75,73,2,2,2,M64
-55,-34,76,74,1,1,2,M65
-56,-37,76,74,2,2,2,M66
-49,-50,82,81,1,1,1,M67
-49,-50,84,83,1,1,1,M68
-51,-52,82,81,2,2,1,M69
-51,-52,84,83,2,2,1,M70
-53,-54,86,85,1,1,1,M71
-55,-56,86,85,2,2,1,M72
-63,-64,88,87,1,1,1,M73
-65,-66,88,87,2,2,1,M74
-63,-64,90,89,1,1,1,M75
-65,-66,90,89,2,2,1,M76
-59,-61,-31,-32,0,0,0,M77
-59,-61,-29,-30,0,0,0,M78
-60,-62,-27,-28,0,0,0,M79
-60,-62,-25,-26,0,0,0,M80
-67,-69,-23,-24,0,0,0,M81
-67,-69,-21,-22,0,0,0,M82
-68,-70,-19,-20,0,0,0,M83
-68,-70,-17,-18,0,0,0,M84
-71,-72,-15,-16,0,0,0,M85
-71,-72,-13,-14,0,0,0,M86
-73,-74,-11,-12,0,0,0,M87
-73,-74,-9,-10,0,0,0,M88
-75,-76,-7,-8,0,0,0,M89
-75,-76,-5,-6,0,0,0,M90
-57,-58,-3,-4,0,0,0,M91
-57,-58,-1,-2,0,0,0,M92
